célia,célia.N+Pr:fs;@SÉ-LÍ-6
expresso,expresso.V:P1s;ÊS-@PŔÉ-SU
expresso,expresso.N:ms;ÊS-@PŔÉ-SU
reuniu,reunir.V:J3s;HÊ-Ú-@NÍW
concreto,concreto.A:ms;KÕ-@KŔÉ-TU
concreto,concreto.V:P1s;KÕ-@KŔÉ-TU
concreto,concreto.N:ms;KÕ-@KŔÉ-TU
docentes,docente.A:mp;DÔ-@SẼ-7IS
docentes,docente.A:fp;DÔ-@SẼ-7IS
docentes,docente.N:mp;DÔ-@SẼ-7IS
docentes,docente.N:fp;DÔ-@SẼ-7IS
diminuir,diminuir.V:W1s;8Í-MÍ-NÚ-@ÍH
diminuir,diminuir.V:W3s;8Í-MÍ-NÚ-@ÍH
diminuir,diminuir.V:U1s;8Í-MÍ-NÚ-@ÍH
diminuir,diminuir.V:U3s;8Í-MÍ-NÚ-@ÍH
iguais,igual.A:mp;Í-@GWÁYS
iguais,igual.A:fp;Í-@GWÁYS
iguais,igual.N:mp;Í-@GWÁYS
iguais,igual.N:fp;Í-@GWÁYS
afastado,afastado.A:ms;Á-FÁS-@TÁ-DU
afastado,afastado.V:K;Á-FÁS-@TÁ-DU
parece,parecer.V:P3s;PÁ-@ŔÉ-SI
parece,parecer.V:Y2s;PÁ-@ŔÉ-SI
media,medir.V:I1s;MÊ-@8Í-6
media,medir.V:I3s;MÊ-@8Í-6
media,medir.V:I1s;MÊ-@8Í-6
media,medir.V:I3s;MÊ-@8Í-6
vitorino,vitorino.N+Pr:;VÍ-TÔ-@ŔĨ-NU
galeria,galeria.N:fs;GÁ-LÊ-@ŔÍ-6
futuros,futuro.A:mp;FÚ-@TÚ-ŔUS
futuros,futuro.N:mp;FÚ-@TÚ-ŔUS
futuros,futuro.N:mp;FÚ-@TÚ-ŔUS
administrativa,administrativo.A:fs;Á8-MÍ-NÍS-TŔÁ-@7Í-V6
praias,praia.N:fp;@PŔÁY-6S
noticiou,noticiar.V:J3s;NÔ-7Í-SÍ-@ÔW
ricos,rico.A:mp;@HÍ-KUS
ricos,rico.N:mp;@HÍ-KUS
provocado,provocado.A:ms;PŔÔ-VÔ-@KÁ-DU
provocado,provocado.V:K;PŔÔ-VÔ-@KÁ-DU
gastos,gasto.A:mp;@GÁS-TUS
gastos,gasto.V:K;@GÁS-TUS
gastos,gasto.N:mp;@GÁS-TUS
desempenho,desempenho.V:P1s;DÊ-ZẼ-@PẼ-ÑU
desempenho,desempenho.N:ms;DÊ-ZẼ-@PẼ-ÑU
riqueza,riqueza.N:fs;HÍ-@KÊ-Z6
joga,jogar.V:P3s;@JÓ-G6
joga,jogar.V:Y2s;@JÓ-G6
liderado,liderado.A:ms;LÍ-DÊ-@ŔÁ-DU
liderado,liderado.V:K;LÍ-DÊ-@ŔÁ-DU
liderado,liderado.N:ms;LÍ-DÊ-@ŔÁ-DU
buscar,buscar.V:W1s;BÚS-@KÁH
buscar,buscar.V:W3s;BÚS-@KÁH
buscar,buscar.V:U1s;BÚS-@KÁH
buscar,buscar.V:U3s;BÚS-@KÁH
acho,achar.V:P1s;@Á-XU
individuais,individual.A:mp;Ĩ-8Í-VÍ-DÚ-@ÁYS
individuais,individual.A:fp;Ĩ-8Í-VÍ-DÚ-@ÁYS
individuais,individual.V:P2p;Ĩ-8Í-VÍ-DÚ-@ÁYS
entregues,entregar.V:S2s;Ẽ-@TŔÉ-GIS
triste,triste.A:ms;@TŔÍS-7I
triste,triste.A:fs;@TŔÍS-7I
triste,triste.N:ms;@TŔÍS-7I
triste,triste.N:fs;@TŔÍS-7I
desempregados,desempregado.A:mp;DÊ-ZẼ-PŔÊ-@GÁ-DUS
desempregados,desempregado.V:K;DÊ-ZẼ-PŔÊ-@GÁ-DUS
desempregados,desempregado.N:mp;DÊ-ZẼ-PŔÊ-@GÁ-DUS
arranque,arranque.V:S1s;Á-@HÃ-KI
arranque,arranque.V:S3s;Á-@HÃ-KI
arranque,arranque.V:Y3s;Á-@HÃ-KI
arranque,arranque.N:ms;Á-@HÃ-KI
compositor,compositor.A:ms;KÕ-PÔ-ZÍ-@TÔH
compositor,compositor.N:ms;KÕ-PÔ-ZÍ-@TÔH
industrial,industrial.A:ms;Ĩ-DÚS-TŔÍ-@ÁW
industrial,industrial.A:fs;Ĩ-DÚS-TŔÍ-@ÁW
industrial,industrial.N:ms;Ĩ-DÚS-TŔÍ-@ÁW
industrial,industrial.N:fs;Ĩ-DÚS-TŔÍ-@ÁW
politicamente,politicamente.ADV:;PÔ-LÍ-7Í-KÁ-@MẼ-7I
assinou,assinar.V:J3s;Á-SÍ-@NÔW
propor,propor.V:W1s;PŔÔ-@PÔH
propor,propor.V:W3s;PŔÔ-@PÔH
seria,ser.V:C1s;SÊ-@ŔÍ-6
seria,ser.V:C3s;SÊ-@ŔÍ-6
seria,ser.V:P3s;SÊ-@ŔÍ-6
seria,ser.V:Y2s;SÊ-@ŔÍ-6
atacar,atacar.V:W1s;Á-TÁ-@KÁH
atacar,atacar.V:W3s;Á-TÁ-@KÁH
atacar,atacar.V:U1s;Á-TÁ-@KÁH
atacar,atacar.V:U3s;Á-TÁ-@KÁH
negativos,negativo.A:mp;NÊ-GÁ-@7Í-VUS
negativos,negativo.N:mp;NÊ-GÁ-@7Í-VUS
todas,todo.A:fp;@TÔ-D6S
todas,todo.N:fp;@TÔ-D6S
utilizada,utilizado.A:fs;Ú-7Í-LÍ-@ZÁ-D6
utilizada,utilizado.V:K;Ú-7Í-LÍ-@ZÁ-D6
liderada,liderado.A:fs;LÍ-DÊ-@ŔÁ-D6
liderada,liderado.V:K;LÍ-DÊ-@ŔÁ-D6
liderada,liderado.N:fs;LÍ-DÊ-@ŔÁ-D6
galeria,galeria.N:fs;GÁ-LÊ-@ŔÍ-6
obrigados,obrigado.A:mp;Ô-BŔÍ-@GÁ-DUS
obrigados,obrigado.V:K;Ô-BŔÍ-@GÁ-DUS
obrigados,obrigado.N:mp;Ô-BŔÍ-@GÁ-DUS
nascimento,nascimento.N:ms;NÁ-SÍ-@MẼ-TU
nascimento,nascimento.N+Pr:;NÁ-SÍ-@MẼ-TU
graus,grau.N:mp;@GŔÁWS
comentar,comentar.V:W1s;KÔ-MẼ-@TÁH
comentar,comentar.V:W3s;KÔ-MẼ-@TÁH
comentar,comentar.V:U1s;KÔ-MẼ-@TÁH
comentar,comentar.V:U3s;KÔ-MẼ-@TÁH
argentina,argentino.A:fs;ÁR-GẼ-@7Ĩ-N6
argentina,argentino.V:P3s;ÁR-GẼ-@7Ĩ-N6
argentina,argentino.V:Y2s;ÁR-GẼ-@7Ĩ-N6
argentina,argentino.N:fs;ÁR-GẼ-@7Ĩ-N6
argentina,argentino.N+Pr:;ÁR-GẼ-@7Ĩ-N6
admitir,admitir.V:W1s;Á8-MÍ-@7ÍH
admitir,admitir.V:W3s;Á8-MÍ-@7ÍH
admitir,admitir.V:U1s;Á8-MÍ-@7ÍH
admitir,admitir.V:U3s;Á8-MÍ-@7ÍH
determinar,determinar.V:W1s;DÊ-TÊR-MÍ-@NÁH
determinar,determinar.V:W3s;DÊ-TÊR-MÍ-@NÁH
determinar,determinar.V:U1s;DÊ-TÊR-MÍ-@NÁH
determinar,determinar.V:U3s;DÊ-TÊR-MÍ-@NÁH
pares,par.A:mp;@PÁ-ŔIS
pares,par.A:fp;@PÁ-ŔIS
pares,par.V:S2s;@PÁ-ŔIS
pares,par.V:P2s;@PÁ-ŔIS
pares,par.N:mp;@PÁ-ŔIS
evento,evento.N:ms;Ê-@VẼ-TU
produtor,produtor.A:ms;PŔÔ-DÚ-@TÔH
produtor,produtor.N:ms;PŔÔ-DÚ-@TÔH
novas,novo.A:fp;@NÓ-V6S
novas,novo.V:P2s;@NÓ-V6S
novas,novo.N:fp;@NÓ-V6S
mostram,mostrar.V:P3p;@MÓS-TŔÃŴ
salto,salto.V:P1s;@SÁW-TU
salto,salto.N:ms;@SÁW-TU
transportes,transporte.V:S2s;TŔÃS-@PÓH-7IS
transportes,transporte.N:mp;TŔÃS-@PÓH-7IS
visitas,visita.V:P2s;VÍ-@ZÍ-T6S
visitas,visita.N:fp;VÍ-@ZÍ-T6S
frio,frio.A:ms;@FŔÍ-U
frio,frio.N:ms;@FŔÍ-U
dono,dono.N:ms;@DÕ-NU
monumento,monumento.N:ms;MÔ-NÚ-@MẼ-TU
viveu,viver.V:J3s;VÍ-@VÊW
posta,posto.A:fs;@PÓS-T6
posta,posto.V:K;@PÓS-T6
posta,posto.V:P3s;@PÓS-T6
posta,posto.V:Y2s;@PÓS-T6
posta,posto.N:fs;@PÓS-T6
propaganda,propaganda.N:fs;PŔÔ-PÁ-@GÃ-D6
correntes,corrente.A:mp;KÔ-@HẼ-7IS
correntes,corrente.A:fp;KÔ-@HẼ-7IS
correntes,corrente.N:mp;KÔ-@HẼ-7IS
correntes,corrente.N:fp;KÔ-@HẼ-7IS
vermelho,vermelho.A:ms;VÍR-@MÊ-ĹU
vermelho,vermelho.V:P1s;VÍR-@MÊ-ĹU
vermelho,vermelho.N:ms;VÍR-@MÊ-ĹU
manobra,manobra.V:P3s;MÁ-@NÓ-BŔ6
manobra,manobra.V:Y2s;MÁ-@NÓ-BŔ6
manobra,manobra.N:fs;MÁ-@NÓ-BŔ6
estatal,estatal.A:ms;ÊS-TÁ-@TÁW
estatal,estatal.A:fs;ÊS-TÁ-@TÁW
capacidades,capacidade.N:fp;KÁ-PÁ-SÍ-@DÁ-8IS
minhas,eu.PRO+Pos:1fp;@MĨ-Ñ6S
loja,loja.N:fs;@LÓ-J6
campanhas,campanha.N:fp;KÃ-@PÃ-Ñ6S
demonstrar,demonstrar.V:W1s;DÊ-MÕS-@TŔÁH
demonstrar,demonstrar.V:W3s;DÊ-MÕS-@TŔÁH
demonstrar,demonstrar.V:U1s;DÊ-MÕS-@TŔÁH
demonstrar,demonstrar.V:U3s;DÊ-MÕS-@TŔÁH
chineses,chinês.A:mp;XÍ-@NÊ-ZIS
chineses,chinês.N:mp;XÍ-@NÊ-ZIS
televisiva,televisivo.A:fs;TÊ-LÊ-VÍ-@ZÍ-V6
vaticano,vaticano.A:ms;VÁ-7Í-@KÃ-NU
perfil,perfil.N:ms;PÊH-@FÍW
banho,banho.V:P1s;@BÃ-ÑU
banho,banho.N:ms;@BÃ-ÑU
ajudas,ajuda.V:P2s;Á-@JÚ-D6S
ajudas,ajuda.N:fp;Á-@JÚ-D6S
espacial,espacial.A:ms;ÊS-PÁ-SÍ-@ÁW
espacial,espacial.A:fs;ÊS-PÁ-SÍ-@ÁW
mistura,mistura.V:P3s;MÍS-@TÚ-Ŕ6
mistura,mistura.V:Y2s;MÍS-@TÚ-Ŕ6
mistura,mistura.N:fs;MÍS-@TÚ-Ŕ6
mistura,mistura.V:P3s;MÍS-@TÚ-Ŕ6
mistura,mistura.V:Y2s;MÍS-@TÚ-Ŕ6
mistura,mistura.N:fs;MÍS-@TÚ-Ŕ6
instalada,instalar.V:K;ĨS-TÁ-@LÁ-D6
convencido,convencido.A:ms;KÕ-VẼ-@SÍ-DU
convencido,convencido.V:K;KÕ-VẼ-@SÍ-DU
convencido,convencido.N:ms;KÕ-VẼ-@SÍ-DU
discursos,discurso.N:mp;8ÍS-@KÚH-SUS
vazio,vazio.A:ms;VÁ-@ZÍ-U
vazio,vazio.V:P1s;VÁ-@ZÍ-U
vazio,vazio.N:ms;VÁ-@ZÍ-U
promovido,promovido.A:ms;PŔÔ-MÔ-@VÍ-DU
promovido,promovido.V:K;PŔÔ-MÔ-@VÍ-DU
largo,largo.A:ms;@LÁR-GU
largo,largo.ADV:;@LÁR-GU
largo,largo.V:P1s;@LÁR-GU
largo,largo.N:ms;@LÁR-GU
desenhos,desenho.N:mp;DÊ-@ZẼ-ÑUS
torre,torre.V:S1s;@TÔ-HI
torre,torre.V:S3s;@TÔ-HI
torre,torre.V:Y3s;@TÔ-HI
torre,torre.N:fs;@TÔ-HI
resolvido,resolvido.A:ms;HÊ-ZÔW-@VÍ-DU
resolvido,resolvido.V:K;HÊ-ZÔW-@VÍ-DU
sou,ser.V:P1s;@SÔW
sou,ser.V:P1s;@SÔW
preparado,preparado.A:ms;PŔÊ-PÁ-@ŔÁ-DU
preparado,preparado.V:K;PŔÊ-PÁ-@ŔÁ-DU
preparado,preparado.N:ms;PŔÊ-PÁ-@ŔÁ-DU
engenheiro,engenheiro.N:ms;Ẽ-JẼ-@ÑÊY-ŔU
obtido,obtido.A:ms;ÔB-@7Í-DU
obtido,obtido.V:K;ÔB-@7Í-DU
enormes,enorme.A:mp;Ê-@NÓR-MIS
enormes,enorme.A:fp;Ê-@NÓR-MIS
justificou,justificar.V:J3s;JÚS-7Í-FÍ-@KÔW
dedicada,dedicado.A:fs;DÊ-8Í-@KÁ-D6
dedicada,dedicado.V:K;DÊ-8Í-@KÁ-D6
optou,optar.V:J3s;ÔP-@TÔW
equivalente,equivalente.A:ms;Ê-KÍ-VÁ-@LẼ-7I
equivalente,equivalente.A:fs;Ê-KÍ-VÁ-@LẼ-7I
geralmente,geralmente.ADV:;JÊ-ŔÁW-@MẼ-7I
festas,festa.V:P2s;@FÉS-T6S
festas,festa.N:fp;@FÉS-T6S
participaram,participar.V:J3p;PÁH-7Í-SÍ-@PÁ-ŔÃŴ
participaram,participar.V:Q3p;PÁH-7Í-SÍ-@PÁ-ŔÃŴ
apoio,apoio.N:ms;Á-@PÔY-U
sujeito,sujeito.A:ms;SÚ-@JÊY-TU
sujeito,sujeito.V:K;SÚ-@JÊY-TU
sujeito,sujeito.V:P1s;SÚ-@JÊY-TU
sujeito,sujeito.N:ms;SÚ-@JÊY-TU
primavera,primavera.V:P3s;PŔÍ-MÁ-@VÉ-Ŕ6
primavera,primavera.V:Y2s;PŔÍ-MÁ-@VÉ-Ŕ6
primavera,primavera.N:fs;PŔÍ-MÁ-@VÉ-Ŕ6
pago,pago.A:ms;@PÁ-GU
pago,pago.V:K;@PÁ-GU
pago,pago.V:P1s;@PÁ-GU
pago,pago.N:ms;@PÁ-GU
pobreza,pobreza.N:fs;PÔ-@BŔÊ-Z6
sistema,sistema.N:ms;SÍS-@TẼ-M6
curta,curto.A:fs;@KÚH-T6
curta,curto.V:S1s;@KÚH-T6
curta,curto.V:S3s;@KÚH-T6
curta,curto.V:Y3s;@KÚH-T6
curta,curto.A:fs;@KÚH-T6
curta,curto.V:S1s;@KÚH-T6
curta,curto.V:S3s;@KÚH-T6
curta,curto.V:Y3s;@KÚH-T6
dirigir,dirigir.V:W1s;8Í-ŔÍ-@JÍH
dirigir,dirigir.V:W3s;8Í-ŔÍ-@JÍH
dirigir,dirigir.V:U1s;8Í-ŔÍ-@JÍH
dirigir,dirigir.V:U3s;8Í-ŔÍ-@JÍH
escritores,escritor.N:mp;ÊS-KŔÍ-@TÔ-ŔIS
atleta,atleta.A:ms;Á-@TLÉ-T6
atleta,atleta.A:fs;Á-@TLÉ-T6
atleta,atleta.N:ms;Á-@TLÉ-T6
atleta,atleta.N:fs;Á-@TLÉ-T6
dispor,dispor.V:W1s;8ÍS-@PÔH
dispor,dispor.V:W3s;8ÍS-@PÔH
revolta,revolto.A:fs;HÊ-@VÓW-T6
revolta,revolto.V:P3s;HÊ-@VÓW-T6
revolta,revolto.V:Y2s;HÊ-@VÓW-T6
revolta,revolto.V:K;HÊ-@VÓW-T6
revolta,revolto.N:fs;HÊ-@VÓW-T6
revolta,revolto.A:fs;HÊ-@VÓW-T6
revolta,revolto.V:P3s;HÊ-@VÓW-T6
revolta,revolto.V:Y2s;HÊ-@VÓW-T6
revolta,revolto.V:K;HÊ-@VÓW-T6
revolta,revolto.N:fs;HÊ-@VÓW-T6
cineasta,cineasta.N:ms;SÍ-NÊ-@ÁS-T6
cineasta,cineasta.N:fs;SÍ-NÊ-@ÁS-T6
perderam,perder.V:J3p;PÊR-@DÊ-ŔÃŴ
perderam,perder.V:Q3p;PÊR-@DÊ-ŔÃŴ
estabelece,estabelecer.V:P3s;ÊS-TÁ-BÊ-@LÉ-SI
estabelece,estabelecer.V:Y2s;ÊS-TÁ-BÊ-@LÉ-SI
lote,lote.V:S1s;@LÓ-7I
lote,lote.V:S3s;@LÓ-7I
lote,lote.V:Y3s;@LÓ-7I
lote,lote.N:ms;@LÓ-7I
orlando,orlar.V:G;ÔR-@LÃ-DU
orlando,orlar.V:G;ÔR-@LÃ-DU
adiamento,adiamento.N:ms;Á-8Í-Á-@MẼ-TU
ocidental,ocidental.A:ms;Ô-SÍ-DẼ-@TÁW
ocidental,ocidental.A:fs;Ô-SÍ-DẼ-@TÁW
ocidental,ocidental.N:ms;Ô-SÍ-DẼ-@TÁW
ocidental,ocidental.N:fs;Ô-SÍ-DẼ-@TÁW
amorim,amorim.N+Pr:;Á-MÔ-@ŔĨ
luxo,luxo.V:P1s;@LÚ-XU
luxo,luxo.N:ms;@LÚ-XU
algumas,algum.A:fp;ÁW-@GŨ-M6S
japonesa,japonês.A:fs;JÁ-PÔ-@NÊ-Z6
japonesa,japonês.N:fs;JÁ-PÔ-@NÊ-Z6
faltam,faltar.V:P3p;@FÁW-TÃŴ
rei,rei.N:ms;@HÊY
cenas,cena.N:fp;@SẼ-N6S
liberal,liberal.A:ms;LÍ-BÊ-@ŔÁW
liberal,liberal.A:fs;LÍ-BÊ-@ŔÁW
liberal,liberal.N:ms;LÍ-BÊ-@ŔÁW
liberal,liberal.N:fs;LÍ-BÊ-@ŔÁW
estrangeiras,estrangeiro.A:fp;ÊS-TŔÃ-@JÊY-Ŕ6S
estrangeiras,estrangeiro.V:P2s;ÊS-TŔÃ-@JÊY-Ŕ6S
estrangeiras,estrangeiro.N:fp;ÊS-TŔÃ-@JÊY-Ŕ6S
beneficiar,beneficiar.V:W1s;BÊ-NÊ-FÍ-SÍ-@ÁH
beneficiar,beneficiar.V:W3s;BÊ-NÊ-FÍ-SÍ-@ÁH
beneficiar,beneficiar.V:U1s;BÊ-NÊ-FÍ-SÍ-@ÁH
beneficiar,beneficiar.V:U3s;BÊ-NÊ-FÍ-SÍ-@ÁH
rapaz,rapaz.A:ms;HÁ-@PÁS
rapaz,rapaz.N:ms;HÁ-@PÁS
vi,ver.V:J1s;@VÍ
vi,ver.V:J1s;@VÍ
quantos,quanto.:;@KWÃ-TUS
lobo,lobo.N:ms;@LÔ-BU
imigrantes,imigrante.A:mp;Í-MÍ-@GŔÃ-7IS
imigrantes,imigrante.A:fp;Í-MÍ-@GŔÃ-7IS
imigrantes,imigrante.N:mp;Í-MÍ-@GŔÃ-7IS
imigrantes,imigrante.N:fp;Í-MÍ-@GŔÃ-7IS
rebeldes,rebelde.A:mp;HÊ-@BÉW-8IS
rebeldes,rebelde.A:fp;HÊ-@BÉW-8IS
rebeldes,rebelde.N:mp;HÊ-@BÉW-8IS
rebeldes,rebelde.N:fp;HÊ-@BÉW-8IS
consideradas,considerar.V:K;KÕ-SÍ-DÊ-@ŔÁ-D6S
acessos,acesso.N:mp;Á-@SÉ-SUS
liga,liga.V:P3s;@LÍ-G6
liga,liga.V:Y2s;@LÍ-G6
liga,liga.N:ms;@LÍ-G6
liga,liga.N:fs;@LÍ-G6
liga,liga.V:P3s;@LÍ-G6
liga,liga.V:Y2s;@LÍ-G6
liga,liga.N:ms;@LÍ-G6
liga,liga.N:fs;@LÍ-G6
barreiras,barreira.V:P2s;BÁ-@HÊY-Ŕ6S
barreiras,barreira.N:fp;BÁ-@HÊY-Ŕ6S
suspeitos,suspeito.A:mp;SÚS-@PÊY-TUS
suspeitos,suspeito.V:K;SÚS-@PÊY-TUS
suspeitos,suspeito.N:mp;SÚS-@PÊY-TUS
urbanos,urbano.A:mp;ÚR-@BÃ-NUS
sindicais,sindical.A:mp;SĨ-8Í-@KÁYS
sindicais,sindical.A:fp;SĨ-8Í-@KÁYS
sindicais,sindical.V:P2p;SĨ-8Í-@KÁYS
bom,bom.A:ms;@BÕ
bom,bom.N:ms;@BÕ
bom,bom.N:ms;@BÕ
assegura,assegurar.V:P3s;Á-SÊ-@GÚ-Ŕ6
assegura,assegurar.V:Y2s;Á-SÊ-@GÚ-Ŕ6
quente,quente.A:ms;@KẼ-7I
quente,quente.A:fs;@KẼ-7I
quente,quente.V:S1s;@KẼ-7I
quente,quente.V:S3s;@KẼ-7I
quente,quente.V:Y3s;@KẼ-7I
quente,quente.N:ms;@KẼ-7I
panorama,panorama.N:ms;PÁ-NÔ-@ŔÃ-M6
ora,ora.ADV:;@Ô-Ŕ6
ora,ora.CONJ:;@Ô-Ŕ6
ora,ora.V:P3s;@Ô-Ŕ6
ora,ora.V:Y2s;@Ô-Ŕ6
hungria,hungria.N+Pr:;Ũ-@GŔÍ-6
emprego,emprego.V:P1s;Ẽ-@PŔÊ-GU
emprego,emprego.N:ms;Ẽ-@PŔÊ-GU
emprego,emprego.V:P1s;Ẽ-@PŔÉ-GU
emprego,emprego.N:ms;Ẽ-@PŔÉ-GU
mapa,mapa.N:ms;@MÁ-P6
devendo,dever.V:G;DÊ-@VẼ-DU
juntos,junto.A:mp;@JŨ-TUS
restaurantes,restaurante.A:mp;HÊS-TÁW-@ŔÃ-7IS
restaurantes,restaurante.A:fp;HÊS-TÁW-@ŔÃ-7IS
restaurantes,restaurante.N:mp;HÊS-TÁW-@ŔÃ-7IS
restaurantes,restaurante.N:fp;HÊS-TÁW-@ŔÃ-7IS
receio,receio.V:P1s;HÊ-@SÊY-U
receio,receio.N:ms;HÊ-@SÊY-U
guitarra,guitarra.N:fs;GÍ-@TÁ-H6
senhora,senhor.A:fs;SẼ-@ÑÓ-Ŕ6
senhora,senhor.PRO+Tra:3fs;SẼ-@ÑÓ-Ŕ6
senhora,senhor.N:fs;SẼ-@ÑÓ-Ŕ6
comboios,comboio.N:mp;KÕ-@BÔY-US
armados,armado.A:mp;ÁR-@MÁ-DUS
armados,armado.V:K;ÁR-@MÁ-DUS
armados,armado.N:mp;ÁR-@MÁ-DUS
mestre,mestre.A:ms;@MÉS-TŔI
mestre,mestre.N:ms;@MÉS-TŔI
mestre,mestre.N:ms;@MÉS-TŔI
daquilo,daquilo.PREPXPRO+Dem:;DÁ-@KÍ-LU
incluir,incluir.V:W1s;Ĩ-KLÚ-@ÍH
incluir,incluir.V:W3s;Ĩ-KLÚ-@ÍH
incluir,incluir.V:U1s;Ĩ-KLÚ-@ÍH
incluir,incluir.V:U3s;Ĩ-KLÚ-@ÍH
incluir,incluir.V:W1s;Ĩ-KLÚ-@ÍH
incluir,incluir.V:W3s;Ĩ-KLÚ-@ÍH
incluir,incluir.V:U1s;Ĩ-KLÚ-@ÍH
incluir,incluir.V:U3s;Ĩ-KLÚ-@ÍH
condutor,condutor.A:ms;KÕ-DÚ-@TÔH
condutor,condutor.N:ms;KÕ-DÚ-@TÔH
composto,composto.A:ms;KÕ-@PÔS-TU
composto,composto.V:K;KÕ-@PÔS-TU
composto,composto.N:ms;KÕ-@PÔS-TU
composto,composto.N:ms;KÕ-@PÔS-TU
tabela,tabela.V:P3s;TÁ-@BÉ-L6
tabela,tabela.V:Y2s;TÁ-@BÉ-L6
tabela,tabela.N:fs;TÁ-@BÉ-L6
formalmente,formalmente.ADV:;FÔR-MÁW-@MẼ-7I
traz,trazer.V:P3s;@TŔÁS
traz,trazer.V:Y2s;@TŔÁS
companheiros,companheiro.A:mp;KÕ-PÃ-@ÑÊY-ŔUS
companheiros,companheiro.N:mp;KÕ-PÃ-@ÑÊY-ŔUS
masculino,masculino.A:ms;MÁS-KÚ-@LĨ-NU
masculino,masculino.N:ms;MÁS-KÚ-@LĨ-NU
determinada,determinado.A:fs;DÊ-TÊR-MÍ-@NÁ-D6
determinada,determinado.V:K;DÊ-TÊR-MÍ-@NÁ-D6
calma,calmo.A:fs;@KÁW-M6
calma,calmo.V:P3s;@KÁW-M6
calma,calmo.V:Y2s;@KÁW-M6
calma,calmo.N:fs;@KÁW-M6
calma,calmo.A:fs;@KÁW-M6
calma,calmo.V:P3s;@KÁW-M6
calma,calmo.V:Y2s;@KÁW-M6
calma,calmo.N:fs;@KÁW-M6
mesquita,mesquita.N:fs;MÊS-@KÍ-T6
bem,bem.ADV:;@BẼỸ
bem,bem.PFX:;@BẼỸ
bem,bem.N:ms;@BẼỸ
bem,bem.N:ms;@BẼỸ
relativas,relativo.A:fp;HÊ-LÁ-@7Í-V6S
ganhos,ganho.A:mp;@GÃ-ÑUS
ganhos,ganho.V:K;@GÃ-ÑUS
ganhos,ganho.N:mp;@GÃ-ÑUS
culturas,cultura.N:fp;KÚW-@TÚ-Ŕ6S
integrada,integrar.V:K;Ĩ-TÊ-@GŔÁ-D6
alcance,alcance.V:S1s;ÁW-@KÃ-SI
alcance,alcance.V:S3s;ÁW-@KÃ-SI
alcance,alcance.V:Y3s;ÁW-@KÃ-SI
alcance,alcance.N:ms;ÁW-@KÃ-SI
alcance,alcance.V:S1s;ÁW-@KÃ-SI
alcance,alcance.V:S3s;ÁW-@KÃ-SI
alcance,alcance.V:Y3s;ÁW-@KÃ-SI
alcance,alcance.N:ms;ÁW-@KÃ-SI
peres,peres.N+Pr:;@PÉ-ŔIS
faziam,fazer.V:I3p;FÁ-@ZÍ-ÃŴ
consta,consta.V:P3s;@KÕS-T6
consta,consta.V:Y2s;@KÕS-T6
consta,consta.N:ms;@KÕS-T6
positivos,positivo.A:mp;PÔ-ZÍ-@7Í-VUS
positivos,positivo.N:mp;PÔ-ZÍ-@7Í-VUS
essenciais,essencial.A:mp;Ê-SẼ-SÍ-@ÁYS
essenciais,essencial.A:fp;Ê-SẼ-SÍ-@ÁYS
essenciais,essencial.N:mp;Ê-SẼ-SÍ-@ÁYS
essenciais,essencial.N:fp;Ê-SẼ-SÍ-@ÁYS
culto,culto.A:ms;@KÚW-TU
culto,culto.N:ms;@KÚW-TU
permitindo,permitir.V:G;PÊR-MÍ-@7Ĩ-DU
comer,comer.V:W1s;KÔ-@MÊH
comer,comer.V:W3s;KÔ-@MÊH
comer,comer.V:U1s;KÔ-@MÊH
comer,comer.V:U3s;KÔ-@MÊH
liquidez,liquidez.N:fs;LÍ-KWÍ-@DÊZ
judiciais,judicial.A:mp;JÚ-8Í-SÍ-@ÁYS
judiciais,judicial.A:fp;JÚ-8Í-SÍ-@ÁYS
judiciais,judicial.V:P2p;JÚ-8Í-SÍ-@ÁYS
indicadores,indicador.A:mp;Ĩ-8Í-KÁ-@DÔ-ŔIS
indicadores,indicador.N:mp;Ĩ-8Í-KÁ-@DÔ-ŔIS
victor,victor.N+Pr:;VÍK-@TÔH
rainha,rainha.A:fs;HÁ-@Ĩ-Ñ6
rainha,rainha.N:fs;HÁ-@Ĩ-Ñ6
rainha,rainha.N:fs;HÁ-@Ĩ-Ñ6
medalha,medalha.V:P3s;MÊ-@DÁ-Ĺ6
medalha,medalha.V:Y2s;MÊ-@DÁ-Ĺ6
medalha,medalha.N:fs;MÊ-@DÁ-Ĺ6
reportagem,reportagem.N:fs;HÊ-PÔH-@TÁ-JẼỸ
fria,frio.A:fs;@FŔÍ-6
disto,disto.PREPXPRO+Dem:;@8ÍS-TU
disto,disto.V:P1s;@8ÍS-TU
instabilidade,instabilidade.N:fs;ĨS-TÁ-BÍ-LÍ-@DÁ-8I
venham,vir.V:S3p;@VẼ-ÑÃŴ
venham,vir.V:Y3p;@VẼ-ÑÃŴ
integram,integrar.V:P3p;Ĩ-@TÉ-GŔÃŴ
bernardo,bernardo.N+Pr:;BÊR-@NÁR-DU
aparente,aparente.A:ms;Á-PÁ-@ŔẼ-7I
aparente,aparente.A:fs;Á-PÁ-@ŔẼ-7I
aparente,aparente.V:S1s;Á-PÁ-@ŔẼ-7I
aparente,aparente.V:S3s;Á-PÁ-@ŔẼ-7I
aparente,aparente.V:Y3s;Á-PÁ-@ŔẼ-7I
